pergunta,resposta
Já temos alguma quinta?,✅ Sim! Já temos quintas contactadas (35 no total).
Como está a organização?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quantas quintas já responderam?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Quantas ainda não responderam?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quais são as quintas disponíveis?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual foi a resposta da Quinta do Sol?,🤔 Não encontrei nenhuma quinta chamada **Quinta Do Sol**.
Quais foram as quintas indisponíveis?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Diz-me o website da Monte da Galega.,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Fica a quantos km de Lisboa?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Mostra-me quintas perto de Lisboa.,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é a quinta mais barata?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é a quinta com maior capacidade?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é a quinta mais próxima de Setúbal?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Qual é o preço da Quinta da Torre?,"Temos várias quintas contactadas e algumas disponíveis! 🌿
Podes perguntar, por exemplo:
• 'Quais as quintas contactadas?'
• 'Já temos quinta confirmada?'
• 'Mostra todas as quintas disponíveis.'"
Quantos convidados já confirmaram?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quem ainda não confirmou?,"🎉 Confirmaram: Barbeitos, Carla Ferraz, Catarina, Diogo, Inês, Isabel, Jorge"
Qual é a taxa de confirmação?,"😊 Interessante! Ainda não sei a resposta exata, mas posso investigar!"
A Isabel vai levar as filhas?,🤔 Não encontrei ninguém chamado 'Isabel Levar' na lista de convidados.
Quantas pessoas vêm da família Jorge?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
O João Paulo confirmou?,❌ João Paulo ainda não confirmou presença.
Quantas pessoas vão no total?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Quais são os dias do evento?,Hoje é 06/11/2025. Faltam poucos dias para a festa! 🎉
Qual é o tema da passagem de ano?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
Qual é a cor deste ano?,"😊 Vamos ver... Ainda não sei a resposta exata, mas posso investigar!"
Qual é o horário de check-in e check-out?,"😊 Boa pergunta! Ainda não sei a resposta exata, mas posso investigar!"
